File;Formulas;Input Cells;Output Cells;AMOUNT of all (minimal and not minimal) VBMdiags (size2);AMOUNT of all minimal QDMdiags (size2);AMOUNT of all minimal QDMdiags in all VBMdiags (size2);AMOUNT of all minimal FDMdiags (size2);AMOUNT of all minimal FDMdiags in all VBMdiags (size2);AMOUNT of all (minimal and not minimal) VBMdiags (size3);AMOUNT of all minimal QDMdiags (size3);AMOUNT of all minimal QDMdiags in all VBMdiags (size3);AMOUNT of all minimal FDMdiags (size3);AMOUNT of all minimal FDMdiags in all VBMdiags (size3);QDM: AMOUNT of all 2-supersets of 1-fault diagnosis;QDM: 2-supersets NOT in VBMdiags2;FDM: AMOUNT of all 2-supersets of 1-fault diagnosis;FDM: 2-supersets NOT in VBMdiags2;QDM: AMOUNT of all 3-supersets of 2-fault diagnosis;QDM: 3-supersets NOT in VBM diags3;FDM: AMOUNT of all 3-supersets of 2-fault diagnosis;FDM: 3-supersets NOT in VBM diags3;
circuit15_20_2FAULTS_FAULTVERSION4.xlsx;48;658;3;267;15.0;0;15.0;0;8188;16.0;0;16.0;0;600;333 (267 diagnoses from 600 are in VBMdiags2);600;333 (267 diagnoses from 600 are in VBMdiags2);12200;4012 (8188 diagnoses from 12200 are in VBMdiags3);12200;4012 (8188 diagnoses from 12200 are in VBMdiags3);
circuit15_20_2FAULTS_FAULTVERSION5.xlsx;48;658;3;44;14.0;0;14.0;0;1682;32.0;0;32.0;0;600;556 (44 diagnoses from 600 are in VBMdiags2);600;556 (44 diagnoses from 600 are in VBMdiags2);12183;10501 (1682 diagnoses from 12183 are in VBMdiags3);12183;10501 (1682 diagnoses from 12183 are in VBMdiags3);
circuit15_20_3FAULTS_FAULTVERSION2.xlsx;48;658;3;-;14.0;- (no 2-fault VBMdiags) -;14.0;- (no 2-fault VBMdiags) -;timeout;32.0;- (no 3-fault VBMdiags) timeout;32.0;- (no 3-fault VBMdiags) timeout;600;- (no 2-fault VBMdiags);600;- (no 2-fault VBMdiags);12183;- (no 3-fault VBMdiags);12183;- (no 3-fault VBMdiags);
circuit15_20_3FAULTS_FAULTVERSION4.xlsx;48;658;3;285;135.0;16;135.0;16;8596;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;600;331 (269 diagnoses from 600 are in VBMdiags2);600;331 (269 diagnoses from 600 are in VBMdiags2);14799;6203 (8596 diagnoses from 14799 are in VBMdiags3);14799;6203 (8596 diagnoses from 14799 are in VBMdiags3);
circuit15_20_3FAULTS_FAULTVERSION5.xlsx;48;658;3;269;464.0;269;134.0;17;8220;461.0;0;3.0;0;-;-;567;315 (252 diagnoses from 567 are in VBMdiags2);13927;5707 (8220 diagnoses from 13927 are in VBMdiags3);14385;6165 (8220 diagnoses from 14385 are in VBMdiags3);
circuit2_10_1FAULTS_FAULTVERSION1.xlsx;9;59;3;8;2.0;0;6.0;0;34;7.0;5;0.0;- (no 3-fault minimal FDMdiags) -;8;0 (8 diagnoses from 8 are in VBMdiags2);8;0 (8 diagnoses from 8 are in VBMdiags2);39;10 (29 diagnoses from 39 are in VBMdiags3);49;15 (34 diagnoses from 49 are in VBMdiags3);
circuit2_10_1FAULTS_FAULTVERSION2.xlsx;9;59;2;31;10.0;5;3.0;2;83;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;26;0 (26 diagnoses from 26 are in VBMdiags2);33;4 (29 diagnoses from 33 are in VBMdiags2);84;1 (83 diagnoses from 84 are in VBMdiags3);84;1 (83 diagnoses from 84 are in VBMdiags3);
circuit2_10_1FAULTS_FAULTVERSION3.xlsx;9;59;2;30;3.0;0;3.0;0;83;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;33;3 (30 diagnoses from 33 are in VBMdiags2);33;3 (30 diagnoses from 33 are in VBMdiags2);84;1 (83 diagnoses from 84 are in VBMdiags3);84;1 (83 diagnoses from 84 are in VBMdiags3);
circuit2_10_1FAULTS_FAULTVERSION4.xlsx;9;59;3;17;4.0;2;6.0;2;61;6.0;1;0.0;- (no 3-fault minimal FDMdiags) -;21;6 (15 diagnoses from 21 are in VBMdiags2);21;6 (15 diagnoses from 21 are in VBMdiags2);78;18 (60 diagnoses from 78 are in VBMdiags3);84;23 (61 diagnoses from 84 are in VBMdiags3);
circuit2_10_1FAULTS_FAULTVERSION5.xlsx;9;59;2;29;9.0;3;2.0;2;82;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;26;0 (26 diagnoses from 26 are in VBMdiags2);33;6 (27 diagnoses from 33 are in VBMdiags2);84;2 (82 diagnoses from 84 are in VBMdiags3);84;2 (82 diagnoses from 84 are in VBMdiags3);
circuit2_10_2FAULTS_FAULTVERSION1.xlsx;9;59;4;5;3.0;2;5.0;2;33;6.0;2;2.0;2;8;5 (3 diagnoses from 8 are in VBMdiags2);8;5 (3 diagnoses from 8 are in VBMdiags2);45;14 (31 diagnoses from 45 are in VBMdiags3);55;24 (31 diagnoses from 55 are in VBMdiags3);
circuit2_10_2FAULTS_FAULTVERSION3.xlsx;9;59;3;3;7.0;3;4.0;3;40;5.0;5;2.0;2;-;-;8;8 (0 diagnoses from 8 are in VBMdiags2);40;5 (35 diagnoses from 40 are in VBMdiags3);46;8 (38 diagnoses from 46 are in VBMdiags3);
circuit2_10_2FAULTS_FAULTVERSION5.xlsx;9;59;3;6;6.0;3;6.0;3;39;1.0;0;1.0;0;8;5 (3 diagnoses from 8 are in VBMdiags2);8;5 (3 diagnoses from 8 are in VBMdiags2);57;18 (39 diagnoses from 57 are in VBMdiags3);57;18 (39 diagnoses from 57 are in VBMdiags3);
circuit2_10_3FAULTS_FAULTVERSION1.xlsx;8;60;3;7;7.0;7;5.0;3;38;10.0;8;0.0;- (no 3-fault minimal FDMdiags) -;-;-;7;3 (4 diagnoses from 7 are in VBMdiags2);30;0 (30 diagnoses from 30 are in VBMdiags3);42;4 (38 diagnoses from 42 are in VBMdiags3);
circuit2_10_3FAULTS_FAULTVERSION3.xlsx;9;59;3;-;0.0;- (no 2-fault minimal QDMdiags) -;0.0;- (no 2-fault minimal FDMdiags) -;29;3.0;0;3.0;0;26;- (no 2-fault VBMdiags);26;- (no 2-fault VBMdiags);74;45 (29 diagnoses from 74 are in VBMdiags3);74;45 (29 diagnoses from 74 are in VBMdiags3);
circuit2_10_3FAULTS_FAULTVERSION4.xlsx;9;59;3;21;2.0;0;4.0;0;65;4.0;0;0.0;- (no 3-fault minimal FDMdiags) -;26;5 (21 diagnoses from 26 are in VBMdiags2);26;5 (21 diagnoses from 26 are in VBMdiags2);80;15 (65 diagnoses from 80 are in VBMdiags3);84;19 (65 diagnoses from 84 are in VBMdiags3);
circuit2_10_3FAULTS_FAULTVERSION5.xlsx;9;59;3;1;2.0;0;2.0;0;7;3.0;0;3.0;0;15;14 (1 diagnoses from 15 are in VBMdiags2);15;14 (1 diagnoses from 15 are in VBMdiags2);58;51 (7 diagnoses from 58 are in VBMdiags3);58;51 (7 diagnoses from 58 are in VBMdiags3);
circuit2_15_1FAULTS_FAULTVERSION1.xlsx;9;79;3;23;4.0;2;5.0;2;74;5.0;3;2.0;1;21;0 (21 diagnoses from 21 are in VBMdiags2);21;0 (21 diagnoses from 21 are in VBMdiags2);78;7 (71 diagnoses from 78 are in VBMdiags3);81;8 (73 diagnoses from 81 are in VBMdiags3);
circuit2_15_1FAULTS_FAULTVERSION2.xlsx;9;79;3;18;6.0;3;6.0;3;64;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);74;10 (64 diagnoses from 74 are in VBMdiags3);74;10 (64 diagnoses from 74 are in VBMdiags3);
circuit2_15_1FAULTS_FAULTVERSION3.xlsx;9;79;3;12;6.0;4;12.0;4;72;14.0;13;3.0;3;8;0 (8 diagnoses from 8 are in VBMdiags2);8;0 (8 diagnoses from 8 are in VBMdiags2);59;0 (59 diagnoses from 59 are in VBMdiags3);72;3 (69 diagnoses from 72 are in VBMdiags3);
circuit2_15_1FAULTS_FAULTVERSION4.xlsx;9;79;3;22;3.0;1;4.0;1;72;9.0;4;1.0;1;21;0 (21 diagnoses from 21 are in VBMdiags2);26;5 (21 diagnoses from 26 are in VBMdiags2);74;6 (68 diagnoses from 74 are in VBMdiags3);82;11 (71 diagnoses from 82 are in VBMdiags3);
circuit2_15_1FAULTS_FAULTVERSION5.xlsx;9;79;3;11;6.0;3;6.0;3;45;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;15;7 (8 diagnoses from 15 are in VBMdiags2);15;7 (8 diagnoses from 15 are in VBMdiags2);74;29 (45 diagnoses from 74 are in VBMdiags3);74;29 (45 diagnoses from 74 are in VBMdiags3);
circuit2_15_2FAULTS_FAULTVERSION4.xlsx;9;79;3;3;2.0;0;2.0;0;25;3.0;1;3.0;1;15;12 (3 diagnoses from 15 are in VBMdiags2);15;12 (3 diagnoses from 15 are in VBMdiags2);58;34 (24 diagnoses from 58 are in VBMdiags3);58;34 (24 diagnoses from 58 are in VBMdiags3);
circuit2_15_2FAULTS_FAULTVERSION5.xlsx;9;79;2;16;3.0;0;3.0;0;63;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;33;17 (16 diagnoses from 33 are in VBMdiags2);33;17 (16 diagnoses from 33 are in VBMdiags2);84;21 (63 diagnoses from 84 are in VBMdiags3);84;21 (63 diagnoses from 84 are in VBMdiags3);
circuit2_15_3FAULTS_FAULTVERSION1.xlsx;9;79;4;-;0.0;- (no 2-fault minimal QDMdiags) -;5.0;- (no 2-fault VBMdiags) -;13;16.0;13;7.0;2;-;-;-;-;-;- (no 3-fault VBMdiags);31;20 (11 diagnoses from 31 are in VBMdiags3);
circuit2_15_3FAULTS_FAULTVERSION2.xlsx;9;79;3;-;5.0;- (no 2-fault VBMdiags) -;3.0;- (no 2-fault VBMdiags) -;9;13.0;2;4.0;1;-;-;8;- (no 2-fault VBMdiags);29;22 (7 diagnoses from 29 are in VBMdiags3);44;36 (8 diagnoses from 44 are in VBMdiags3);
circuit2_15_3FAULTS_FAULTVERSION3.xlsx;8;80;4;5;2.0;2;2.0;2;26;1.0;1;2.0;1;7;4 (3 diagnoses from 7 are in VBMdiags2);7;4 (3 diagnoses from 7 are in VBMdiags2);30;5 (25 diagnoses from 30 are in VBMdiags3);30;5 (25 diagnoses from 30 are in VBMdiags3);
circuit2_15_3FAULTS_FAULTVERSION4.xlsx;9;79;2;3;3.0;0;3.0;0;18;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;30;27 (3 diagnoses from 30 are in VBMdiags2);30;27 (3 diagnoses from 30 are in VBMdiags2);83;65 (18 diagnoses from 83 are in VBMdiags3);83;65 (18 diagnoses from 83 are in VBMdiags3);
circuit2_15_3FAULTS_FAULTVERSION5.xlsx;9;79;2;11;30.0;11;4.0;2;50;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;-;-;26;17 (9 diagnoses from 26 are in VBMdiags2);80;30 (50 diagnoses from 80 are in VBMdiags3);80;30 (50 diagnoses from 80 are in VBMdiags3);
circuit2_2_1FAULTS_FAULTVERSION1.xlsx;9;27;4;15;1.0;0;3.0;0;50;4.0;1;2.0;0;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);54;5 (49 diagnoses from 54 are in VBMdiags3);63;13 (50 diagnoses from 63 are in VBMdiags3);
circuit2_2_1FAULTS_FAULTVERSION2.xlsx;9;27;3;18;6.0;3;6.0;3;64;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);74;10 (64 diagnoses from 74 are in VBMdiags3);74;10 (64 diagnoses from 74 are in VBMdiags3);
circuit2_2_1FAULTS_FAULTVERSION3.xlsx;9;27;3;15;2.0;0;2.0;0;60;3.0;3;3.0;3;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);58;1 (57 diagnoses from 58 are in VBMdiags3);58;1 (57 diagnoses from 58 are in VBMdiags3);
circuit2_2_1FAULTS_FAULTVERSION4.xlsx;9;27;4;16;1.0;1;3.0;1;56;4.0;2;2.0;1;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);54;0 (54 diagnoses from 54 are in VBMdiags3);63;8 (55 diagnoses from 63 are in VBMdiags3);
circuit2_2_2FAULTS_FAULTVERSION2.xlsx;9;27;3;4;2.0;0;2.0;0;34;3.0;2;3.0;2;15;11 (4 diagnoses from 15 are in VBMdiags2);15;11 (4 diagnoses from 15 are in VBMdiags2);58;26 (32 diagnoses from 58 are in VBMdiags3);58;26 (32 diagnoses from 58 are in VBMdiags3);
circuit2_2_2FAULTS_FAULTVERSION3.xlsx;9;27;4;2;4.0;2;2.0;2;18;4.0;1;2.0;1;-;-;8;8 (0 diagnoses from 8 are in VBMdiags2);26;9 (17 diagnoses from 26 are in VBMdiags3);39;22 (17 diagnoses from 39 are in VBMdiags3);
circuit2_2_2FAULTS_FAULTVERSION4.xlsx;9;27;3;2;7.0;2;3.0;2;31;6.0;6;3.0;3;-;-;8;8 (0 diagnoses from 8 are in VBMdiags2);37;12 (25 diagnoses from 37 are in VBMdiags3);43;15 (28 diagnoses from 43 are in VBMdiags3);
circuit2_2_2FAULTS_FAULTVERSION5.xlsx;9;27;3;19;5.0;4;5.0;4;70;1.0;1;1.0;1;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);70;1 (69 diagnoses from 70 are in VBMdiags3);70;1 (69 diagnoses from 70 are in VBMdiags3);
circuit2_2_3FAULTS_FAULTVERSION1.xlsx;8;28;3;7;8.0;7;5.0;3;37;7.0;4;1.0;0;-;-;7;3 (4 diagnoses from 7 are in VBMdiags2);36;3 (33 diagnoses from 36 are in VBMdiags3);42;5 (37 diagnoses from 42 are in VBMdiags3);
circuit2_2_3FAULTS_FAULTVERSION2.xlsx;9;27;3;-;6.0;- (no 2-fault VBMdiags) -;6.0;- (no 2-fault VBMdiags) -;32;6.0;6;6.0;6;-;-;-;-;33;7 (26 diagnoses from 33 are in VBMdiags3);33;7 (26 diagnoses from 33 are in VBMdiags3);
circuit2_2_3FAULTS_FAULTVERSION3.xlsx;9;27;3;7;4.0;2;4.0;2;36;1.0;0;1.0;0;21;16 (5 diagnoses from 21 are in VBMdiags2);21;16 (5 diagnoses from 21 are in VBMdiags2);78;42 (36 diagnoses from 78 are in VBMdiags3);78;42 (36 diagnoses from 78 are in VBMdiags3);
circuit2_2_3FAULTS_FAULTVERSION4.xlsx;9;27;2;15;8.0;8;8.0;8;64;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;21;14 (7 diagnoses from 21 are in VBMdiags2);21;14 (7 diagnoses from 21 are in VBMdiags2);80;16 (64 diagnoses from 80 are in VBMdiags3);80;16 (64 diagnoses from 80 are in VBMdiags3);
circuit2_2_3FAULTS_FAULTVERSION5.xlsx;9;27;3;8;2.0;0;2.0;0;39;3.0;2;3.0;2;15;7 (8 diagnoses from 15 are in VBMdiags2);15;7 (8 diagnoses from 15 are in VBMdiags2);58;21 (37 diagnoses from 58 are in VBMdiags3);58;21 (37 diagnoses from 58 are in VBMdiags3);
circuit2_20_1FAULTS_FAULTVERSION1.xlsx;9;99;3;11;6.0;3;6.0;3;46;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;15;7 (8 diagnoses from 15 are in VBMdiags2);15;7 (8 diagnoses from 15 are in VBMdiags2);74;28 (46 diagnoses from 74 are in VBMdiags3);74;28 (46 diagnoses from 74 are in VBMdiags3);
circuit2_20_1FAULTS_FAULTVERSION2.xlsx;9;99;3;17;4.0;2;6.0;2;61;6.0;1;0.0;- (no 3-fault minimal FDMdiags) -;21;6 (15 diagnoses from 21 are in VBMdiags2);21;6 (15 diagnoses from 21 are in VBMdiags2);78;18 (60 diagnoses from 78 are in VBMdiags3);84;23 (61 diagnoses from 84 are in VBMdiags3);
circuit2_20_1FAULTS_FAULTVERSION3.xlsx;9;99;3;24;3.0;3;5.0;3;79;6.0;4;0.0;- (no 3-fault minimal FDMdiags) -;21;0 (21 diagnoses from 21 are in VBMdiags2);21;0 (21 diagnoses from 21 are in VBMdiags2);75;0 (75 diagnoses from 75 are in VBMdiags3);81;2 (79 diagnoses from 81 are in VBMdiags3);
circuit2_20_1FAULTS_FAULTVERSION4.xlsx;9;99;3;9;6.0;1;6.0;1;34;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;15;7 (8 diagnoses from 15 are in VBMdiags2);15;7 (8 diagnoses from 15 are in VBMdiags2);74;40 (34 diagnoses from 74 are in VBMdiags3);74;40 (34 diagnoses from 74 are in VBMdiags3);
circuit2_20_1FAULTS_FAULTVERSION5.xlsx;9;99;3;8;2.0;0;2.0;0;39;3.0;2;3.0;2;15;7 (8 diagnoses from 15 are in VBMdiags2);15;7 (8 diagnoses from 15 are in VBMdiags2);58;21 (37 diagnoses from 58 are in VBMdiags3);58;21 (37 diagnoses from 58 are in VBMdiags3);
circuit2_20_2FAULTS_FAULTVERSION1.xlsx;9;99;3;3;5.0;2;5.0;2;36;3.0;3;3.0;3;8;7 (1 diagnoses from 8 are in VBMdiags2);8;7 (1 diagnoses from 8 are in VBMdiags2);52;19 (33 diagnoses from 52 are in VBMdiags3);52;19 (33 diagnoses from 52 are in VBMdiags3);
circuit2_20_2FAULTS_FAULTVERSION2.xlsx;9;99;3;2;3.0;0;3.0;0;30;3.0;2;3.0;2;8;6 (2 diagnoses from 8 are in VBMdiags2);8;6 (2 diagnoses from 8 are in VBMdiags2);43;15 (28 diagnoses from 43 are in VBMdiags3);43;15 (28 diagnoses from 43 are in VBMdiags3);
circuit2_20_2FAULTS_FAULTVERSION4.xlsx;9;99;2;31;3.0;1;3.0;1;83;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;33;3 (30 diagnoses from 33 are in VBMdiags2);33;3 (30 diagnoses from 33 are in VBMdiags2);84;1 (83 diagnoses from 84 are in VBMdiags3);84;1 (83 diagnoses from 84 are in VBMdiags3);
circuit2_20_2FAULTS_FAULTVERSION5.xlsx;9;99;3;11;9.0;6;9.0;6;64;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;8;3 (5 diagnoses from 8 are in VBMdiags2);8;3 (5 diagnoses from 8 are in VBMdiags2);71;7 (64 diagnoses from 71 are in VBMdiags3);71;7 (64 diagnoses from 71 are in VBMdiags3);
circuit2_20_3FAULTS_FAULTVERSION1.xlsx;8;100;2;21;6.0;6;6.0;6;54;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;18;3 (15 diagnoses from 18 are in VBMdiags2);18;3 (15 diagnoses from 18 are in VBMdiags2);55;1 (54 diagnoses from 55 are in VBMdiags3);55;1 (54 diagnoses from 55 are in VBMdiags3);
circuit2_20_3FAULTS_FAULTVERSION2.xlsx;9;99;3;24;4.0;3;5.0;3;78;5.0;3;2.0;1;21;0 (21 diagnoses from 21 are in VBMdiags2);21;0 (21 diagnoses from 21 are in VBMdiags2);78;3 (75 diagnoses from 78 are in VBMdiags3);81;4 (77 diagnoses from 81 are in VBMdiags3);
circuit2_20_3FAULTS_FAULTVERSION3.xlsx;9;99;3;2;6.0;2;10.0;2;13;9.0;0;3.0;0;-;-;-;-;36;23 (13 diagnoses from 36 are in VBMdiags3);45;32 (13 diagnoses from 45 are in VBMdiags3);
circuit2_20_3FAULTS_FAULTVERSION4.xlsx;9;99;3;1;10.0;1;6.0;1;22;3.0;0;3.0;0;-;-;8;8 (0 diagnoses from 8 are in VBMdiags2);55;33 (22 diagnoses from 55 are in VBMdiags3);58;36 (22 diagnoses from 58 are in VBMdiags3);
circuit2_20_3FAULTS_FAULTVERSION5.xlsx;9;99;3;-;9.0;- (no 2-fault VBMdiags) -;9.0;- (no 2-fault VBMdiags) -;24;4.0;3;4.0;3;-;-;-;-;43;22 (21 diagnoses from 43 are in VBMdiags3);43;22 (21 diagnoses from 43 are in VBMdiags3);
circuit2_3_1FAULTS_FAULTVERSION1.xlsx;9;31;3;24;4.0;3;6.0;3;77;6.0;2;0.0;- (no 3-fault minimal FDMdiags) -;21;0 (21 diagnoses from 21 are in VBMdiags2);21;0 (21 diagnoses from 21 are in VBMdiags2);78;3 (75 diagnoses from 78 are in VBMdiags3);84;7 (77 diagnoses from 84 are in VBMdiags3);
circuit2_3_1FAULTS_FAULTVERSION2.xlsx;9;31;3;15;9.0;7;10.0;7;64;8.0;3;3.0;0;8;0 (8 diagnoses from 8 are in VBMdiags2);8;0 (8 diagnoses from 8 are in VBMdiags2);68;7 (61 diagnoses from 68 are in VBMdiags3);73;9 (64 diagnoses from 73 are in VBMdiags3);
circuit2_3_1FAULTS_FAULTVERSION3.xlsx;9;31;4;16;1.0;1;3.0;1;57;4.0;3;4.0;1;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);54;0 (54 diagnoses from 54 are in VBMdiags3);63;7 (56 diagnoses from 63 are in VBMdiags3);
circuit2_3_1FAULTS_FAULTVERSION4.xlsx;9;31;4;15;1.0;0;3.0;0;50;4.0;1;2.0;0;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);54;5 (49 diagnoses from 54 are in VBMdiags3);63;13 (50 diagnoses from 63 are in VBMdiags3);
circuit2_3_1FAULTS_FAULTVERSION5.xlsx;9;31;3;18;5.0;3;5.0;3;63;1.0;1;1.0;1;15;0 (15 diagnoses from 15 are in VBMdiags2);15;0 (15 diagnoses from 15 are in VBMdiags2);70;8 (62 diagnoses from 70 are in VBMdiags3);70;8 (62 diagnoses from 70 are in VBMdiags3);
circuit2_3_2FAULTS_FAULTVERSION1.xlsx;9;31;3;7;5.0;2;5.0;2;36;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;21;16 (5 diagnoses from 21 are in VBMdiags2);21;16 (5 diagnoses from 21 are in VBMdiags2);81;45 (36 diagnoses from 81 are in VBMdiags3);81;45 (36 diagnoses from 81 are in VBMdiags3);
circuit2_3_2FAULTS_FAULTVERSION2.xlsx;9;31;3;11;8.0;6;8.0;6;65;2.0;2;2.0;2;8;3 (5 diagnoses from 8 are in VBMdiags2);8;3 (5 diagnoses from 8 are in VBMdiags2);66;3 (63 diagnoses from 66 are in VBMdiags3);66;3 (63 diagnoses from 66 are in VBMdiags3);
circuit2_3_2FAULTS_FAULTVERSION3.xlsx;9;31;3;3;2.0;0;2.0;0;25;3.0;0;3.0;0;15;12 (3 diagnoses from 15 are in VBMdiags2);15;12 (3 diagnoses from 15 are in VBMdiags2);58;33 (25 diagnoses from 58 are in VBMdiags3);58;33 (25 diagnoses from 58 are in VBMdiags3);
circuit2_3_2FAULTS_FAULTVERSION4.xlsx;9;31;3;5;2.0;0;2.0;0;45;3.0;3;3.0;3;15;10 (5 diagnoses from 15 are in VBMdiags2);15;10 (5 diagnoses from 15 are in VBMdiags2);58;16 (42 diagnoses from 58 are in VBMdiags3);58;16 (42 diagnoses from 58 are in VBMdiags3);
circuit2_3_2FAULTS_FAULTVERSION5.xlsx;8;32;3;11;5.0;4;5.0;4;43;1.0;1;1.0;1;7;0 (7 diagnoses from 7 are in VBMdiags2);7;0 (7 diagnoses from 7 are in VBMdiags2);42;0 (42 diagnoses from 42 are in VBMdiags3);42;0 (42 diagnoses from 42 are in VBMdiags3);
circuit2_3_3FAULTS_FAULTVERSION1.xlsx;9;31;4;-;3.0;- (no 2-fault VBMdiags) -;3.0;- (no 2-fault VBMdiags) -;7;4.0;0;4.0;0;8;- (no 2-fault VBMdiags);8;- (no 2-fault VBMdiags);43;36 (7 diagnoses from 43 are in VBMdiags3);43;36 (7 diagnoses from 43 are in VBMdiags3);
circuit2_3_3FAULTS_FAULTVERSION4.xlsx;8;32;3;7;8.0;7;5.0;3;42;6.0;6;1.0;1;-;-;7;3 (4 diagnoses from 7 are in VBMdiags2);36;0 (36 diagnoses from 36 are in VBMdiags3);42;1 (41 diagnoses from 42 are in VBMdiags3);
circuit2_3_3FAULTS_FAULTVERSION5.xlsx;9;31;3;-;3.0;- (no 2-fault VBMdiags) -;3.0;- (no 2-fault VBMdiags) -;36;4.0;4;4.0;4;8;- (no 2-fault VBMdiags);8;- (no 2-fault VBMdiags);44;12 (32 diagnoses from 44 are in VBMdiags3);44;12 (32 diagnoses from 44 are in VBMdiags3);
circuit20_15_1FAULTS_FAULTVERSION1.xlsx;63;673;3;1108;230.0;58;230.0;58;29175;1.0;2;1.0;2;1050;0 (1050 diagnoses from 1050 are in VBMdiags2);1050;0 (1050 diagnoses from 1050 are in VBMdiags2);33928;709 (33219 diagnoses from 33928 are in VBMdiags3);33928;709 (33219 diagnoses from 33928 are in VBMdiags3);
circuit20_15_1FAULTS_FAULTVERSION2.xlsx;63;673;3;142;400.0;20;420.0;20;4670;420.0;44;0.0;- (no 3-fault minimal FDMdiags) -;1091;944 (147 diagnoses from 1091 are in VBMdiags2);1091;944 (147 diagnoses from 1091 are in VBMdiags2);39249;28993 (10256 diagnoses from 39249 are in VBMdiags3);39670;29306 (10364 diagnoses from 39670 are in VBMdiags3);
circuit20_15_1FAULTS_FAULTVERSION4.xlsx;63;673;3;81;231.0;19;231.0;19;2860;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;1050;986 (64 diagnoses from 1050 are in VBMdiags2);1050;986 (64 diagnoses from 1050 are in VBMdiags2);33950;30400 (3550 diagnoses from 33950 are in VBMdiags3);33950;30400 (3550 diagnoses from 33950 are in VBMdiags3);
circuit20_15_1FAULTS_FAULTVERSION5.xlsx;63;673;3;81;231.0;19;231.0;19;2860;0.0;- (no 3-fault minimal QDMdiags) -;0.0;- (no 3-fault minimal FDMdiags) -;1050;986 (64 diagnoses from 1050 are in VBMdiags2);1050;986 (64 diagnoses from 1050 are in VBMdiags2);33950;30400 (3550 diagnoses from 33950 are in VBMdiags3);33950;30400 (3550 diagnoses from 33950 are in VBMdiags3);
circuit20_15_2FAULTS_FAULTVERSION1.xlsx;62;674;3;1028;230.0;40;230.0;40;26717;1.0;0;1.0;0;988;0 (988 diagnoses from 988 are in VBMdiags2);988;0 (988 diagnoses from 988 are in VBMdiags2);32037;1408 (30629 diagnoses from 32037 are in VBMdiags3);32037;1408 (30629 diagnoses from 32037 are in VBMdiags3);
circuit20_15_2FAULTS_FAULTVERSION2.xlsx;63;673;3;461;841.0;461;231.0;21;18630;839.0;0;0.0;- (no 3-fault minimal FDMdiags) -;-;-;1050;522 (528 diagnoses from 1050 are in VBMdiags2);33070;7756 (25314 diagnoses from 33070 are in VBMdiags3);33950;4994 (28956 diagnoses from 33950 are in VBMdiags3);
circuit20_15_2FAULTS_FAULTVERSION3.xlsx;63;673;3;39;19.0;3;19.0;3;1998;20.0;0;20.0;0;1133;1094 (39 diagnoses from 1133 are in VBMdiags2);1133;1094 (39 diagnoses from 1133 are in VBMdiags2);29621;27499 (2122 diagnoses from 29621 are in VBMdiags3);29621;27499 (2122 diagnoses from 29621 are in VBMdiags3);
