File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
AFW_bank_account_2Faults_Fault1.xlsx,27,45,13,0,9,9,1,3,1,3,1,25,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,198,198 (0 diagnoses from 198 are in VBMdiags2),198,198 (0 diagnoses from 198 are in VBMdiags2),2154,2129 (25 diagnoses from 2154 are in VBMdiags3),2154,2129 (25 diagnoses from 2154 are in VBMdiags3),
AFW_bank_account_2Faults_Fault2.xlsx,27,45,13,0,0,0,1,1,1,1,1,25,1,0,1,0,-,-,-,-,25,0 (25 diagnoses from 25 are in VBMdiags3),25,0 (25 diagnoses from 25 are in VBMdiags3),
AFW_bank_account_2Faults_Fault3.xlsx,27,45,13,0,2,2,-,1,- (no 2-fault VBMdiags) -,1,- (no 2-fault VBMdiags) -,1,1,0,1,0,51,- (no 2-fault VBMdiags),51,- (no 2-fault VBMdiags),648,647 (1 diagnoses from 648 are in VBMdiags3),648,647 (1 diagnoses from 648 are in VBMdiags3),
AFW_bank_account_3Faults_Fault1.xlsx,27,45,13,0,1,1,-,1,- (no 2-fault VBMdiags) -,1,- (no 2-fault VBMdiags) -,-,1,- (no 3-fault VBMdiags) -,1,- (no 3-fault VBMdiags) -,26,- (no 2-fault VBMdiags),26,- (no 2-fault VBMdiags),349,- (no 3-fault VBMdiags),349,- (no 3-fault VBMdiags),
AFW_birthdays_1Faults_Fault1.xlsx,39,39,4,9,9,9,306,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,5079,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,306,0 (306 diagnoses from 306 are in VBMdiags2),306,0 (306 diagnoses from 306 are in VBMdiags2),5079,0 (5079 diagnoses from 5079 are in VBMdiags3),5079,0 (5079 diagnoses from 5079 are in VBMdiags3),
AFW_birthdays_1Faults_Fault3.xlsx,39,39,4,1,1,1,39,18,1,18,1,740,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),38,0 (38 diagnoses from 38 are in VBMdiags2),1198,458 (740 diagnoses from 1198 are in VBMdiags3),1198,458 (740 diagnoses from 1198 are in VBMdiags3),
AFW_birthdays_1Faults_Fault5.xlsx,39,40,4,1,1,39,38,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,703,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,38,0 (38 diagnoses from 38 are in VBMdiags2),741,703 (38 diagnoses from 741 are in VBMdiags2),703,0 (703 diagnoses from 703 are in VBMdiags3),9139,8436 (703 diagnoses from 9139 are in VBMdiags3),
AFW_birthdays_3Faults_Fault1.xlsx,39,39,5,4,5,5,161,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,2992,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,180,19 (161 diagnoses from 180 are in VBMdiags2),180,19 (161 diagnoses from 180 are in VBMdiags2),3155,163 (2992 diagnoses from 3155 are in VBMdiags3),3155,163 (2992 diagnoses from 3155 are in VBMdiags3),
AFW_book_recommendation_1Faults_Fault1.xlsx,241,175,8,1,234,241,239,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,28441,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,28899,28126 (773 diagnoses from 28899 are in VBMdiags2),28920,28147 (773 diagnoses from 28920 are in VBMdiags2),2303925,2162777 (141148 diagnoses from 2303925 are in VBMdiags3),2303960,2162812 (141148 diagnoses from 2303960 are in VBMdiags3),
AFW_book_recommendation_2Faults_Fault3.xlsx,241,175,8,1,234,241,239,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,28441,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,28899,28126 (773 diagnoses from 28899 are in VBMdiags2),28920,28147 (773 diagnoses from 28920 are in VBMdiags2),2303925,2162777 (141148 diagnoses from 2303925 are in VBMdiags3),2303960,2162812 (141148 diagnoses from 2303960 are in VBMdiags3),
AFW_book_recommendation_3Faults_Fault1.xlsx,240,176,8,1,233,240,238,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,28203,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,28659,27889 (770 diagnoses from 28659 are in VBMdiags2),28680,27910 (770 diagnoses from 28680 are in VBMdiags2),2275245,2135161 (140084 diagnoses from 2275245 are in VBMdiags3),2275280,2135196 (140084 diagnoses from 2275280 are in VBMdiags3),
AFW_cake_1Faults_Fault1.xlsx,69,101,2,44,65,65,2046,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,50094,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2340,294 (2046 diagnoses from 2340 are in VBMdiags2),2340,294 (2046 diagnoses from 2340 are in VBMdiags2),52390,2296 (50094 diagnoses from 52390 are in VBMdiags3),52390,2296 (50094 diagnoses from 52390 are in VBMdiags3),
AFW_cake_2Faults_Fault1.xlsx,69,101,3,43,64,64,2021,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,49794,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2336,315 (2021 diagnoses from 2336 are in VBMdiags2),2336,315 (2021 diagnoses from 2336 are in VBMdiags2),52384,2590 (49794 diagnoses from 52384 are in VBMdiags3),52384,2590 (49794 diagnoses from 52384 are in VBMdiags3),
AFW_cake_2Faults_Fault2.xlsx,69,101,2,20,65,65,1170,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,33970,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2340,1170 (1170 diagnoses from 2340 are in VBMdiags2),2340,1170 (1170 diagnoses from 2340 are in VBMdiags2),52390,18420 (33970 diagnoses from 52390 are in VBMdiags3),52390,18420 (33970 diagnoses from 52390 are in VBMdiags3),
AFW_cake_2Faults_Fault3.xlsx,69,101,2,17,65,65,1020,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,30294,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,2340,1320 (1020 diagnoses from 2340 are in VBMdiags2),2340,1320 (1020 diagnoses from 2340 are in VBMdiags2),52390,22096 (30294 diagnoses from 52390 are in VBMdiags3),52390,22096 (30294 diagnoses from 52390 are in VBMdiags3),
AFW_cake_3Faults_Fault1.xlsx,69,101,4,0,0,0,96,186,96,186,96,4848,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,6603,1755 (4848 diagnoses from 6603 are in VBMdiags3),6603,1755 (4848 diagnoses from 6603 are in VBMdiags3),
AFW_computer_shopping_1Faults_Fault1.xlsx,36,37,4,1,1,1,35,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,595,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,35,0 (35 diagnoses from 35 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags2),595,0 (595 diagnoses from 595 are in VBMdiags3),595,0 (595 diagnoses from 595 are in VBMdiags3),
AFW_computer_shopping_1Faults_Fault2.xlsx,36,37,4,1,1,1,35,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,595,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,35,0 (35 diagnoses from 35 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags2),595,0 (595 diagnoses from 595 are in VBMdiags3),595,0 (595 diagnoses from 595 are in VBMdiags3),
AFW_computer_shopping_2Faults_Fault1.xlsx,36,37,4,0,0,0,1,1,1,1,1,34,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,34,0 (34 diagnoses from 34 are in VBMdiags3),34,0 (34 diagnoses from 34 are in VBMdiags3),
AFW_computer_shopping_2Faults_Fault2.xlsx,36,37,4,1,1,1,35,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,595,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,35,0 (35 diagnoses from 35 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags2),595,0 (595 diagnoses from 595 are in VBMdiags3),595,0 (595 diagnoses from 595 are in VBMdiags3),
AFW_computer_shopping_2Faults_Fault3.xlsx,36,37,4,0,0,0,33,33,33,33,33,594,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,-,-,594,0 (594 diagnoses from 594 are in VBMdiags3),594,0 (594 diagnoses from 594 are in VBMdiags3),
AFW_computer_shopping_3Faults_Fault1.xlsx,36,37,4,1,1,1,35,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,595,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,35,0 (35 diagnoses from 35 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags2),595,0 (595 diagnoses from 595 are in VBMdiags3),595,0 (595 diagnoses from 595 are in VBMdiags3),
AFW_conditionals01_1Faults_Fault1.xlsx,11,9,2,2,9,9,23,1,0,1,0,108,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,54,31 (23 diagnoses from 54 are in VBMdiags2),54,31 (23 diagnoses from 54 are in VBMdiags2),165,57 (108 diagnoses from 165 are in VBMdiags3),165,57 (108 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_1Faults_Fault2.xlsx,11,9,1,7,11,11,51,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,165,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,4 (51 diagnoses from 55 are in VBMdiags2),55,4 (51 diagnoses from 55 are in VBMdiags2),165,0 (165 diagnoses from 165 are in VBMdiags3),165,0 (165 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_1Faults_Fault3.xlsx,11,10,2,2,9,11,23,1,0,0,- (no 2-fault minimal FDMdiags) -,108,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,54,31 (23 diagnoses from 54 are in VBMdiags2),55,32 (23 diagnoses from 55 are in VBMdiags2),165,57 (108 diagnoses from 165 are in VBMdiags3),165,57 (108 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_2Faults_Fault1.xlsx,11,9,2,4,9,9,38,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,149,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,54,16 (38 diagnoses from 54 are in VBMdiags2),54,16 (38 diagnoses from 54 are in VBMdiags2),165,16 (149 diagnoses from 165 are in VBMdiags3),165,16 (149 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_2Faults_Fault2.xlsx,11,10,1,5,11,11,47,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,163,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,8 (47 diagnoses from 55 are in VBMdiags2),55,8 (47 diagnoses from 55 are in VBMdiags2),165,2 (163 diagnoses from 165 are in VBMdiags3),165,2 (163 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_2Faults_Fault3.xlsx,11,10,1,7,11,11,51,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,165,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,4 (51 diagnoses from 55 are in VBMdiags2),55,4 (51 diagnoses from 55 are in VBMdiags2),165,0 (165 diagnoses from 165 are in VBMdiags3),165,0 (165 diagnoses from 165 are in VBMdiags3),
AFW_conditionals01_3Faults_Fault1.xlsx,11,10,1,4,11,11,42,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,159,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,13 (42 diagnoses from 55 are in VBMdiags2),55,13 (42 diagnoses from 55 are in VBMdiags2),165,6 (159 diagnoses from 165 are in VBMdiags3),165,6 (159 diagnoses from 165 are in VBMdiags3),
AFW_conditionals02_1Faults_Fault1.xlsx,7,21,2,3,6,7,17,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,34,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,4 (17 diagnoses from 21 are in VBMdiags2),21,4 (17 diagnoses from 21 are in VBMdiags2),35,1 (34 diagnoses from 35 are in VBMdiags3),35,1 (34 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_1Faults_Fault2.xlsx,7,22,2,1,6,7,10,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,28,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,11 (10 diagnoses from 21 are in VBMdiags2),21,11 (10 diagnoses from 21 are in VBMdiags2),35,7 (28 diagnoses from 35 are in VBMdiags3),35,7 (28 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_1Faults_Fault3.xlsx,7,21,1,3,7,7,20,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,35,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,1 (20 diagnoses from 21 are in VBMdiags2),21,1 (20 diagnoses from 21 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags3),35,0 (35 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_2Faults_Fault1.xlsx,7,22,1,3,7,7,20,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,35,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,1 (20 diagnoses from 21 are in VBMdiags2),21,1 (20 diagnoses from 21 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags3),35,0 (35 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_2Faults_Fault2.xlsx,7,21,1,3,7,7,20,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,35,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,1 (20 diagnoses from 21 are in VBMdiags2),21,1 (20 diagnoses from 21 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags3),35,0 (35 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_2Faults_Fault3.xlsx,7,21,1,4,7,7,20,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,35,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,1 (20 diagnoses from 21 are in VBMdiags2),21,1 (20 diagnoses from 21 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags3),35,0 (35 diagnoses from 35 are in VBMdiags3),
AFW_conditionals02_3Faults_Fault1.xlsx,7,21,1,3,7,7,18,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,35,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,21,3 (18 diagnoses from 21 are in VBMdiags2),21,3 (18 diagnoses from 21 are in VBMdiags2),35,0 (35 diagnoses from 35 are in VBMdiags3),35,0 (35 diagnoses from 35 are in VBMdiags3),
AFW_dice_rolling_1Faults_Fault1.xlsx,21,31,4,6,6,6,105,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,875,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,105,0 (105 diagnoses from 105 are in VBMdiags2),105,0 (105 diagnoses from 105 are in VBMdiags2),875,0 (875 diagnoses from 875 are in VBMdiags3),875,0 (875 diagnoses from 875 are in VBMdiags3),
AFW_dice_rolling_2Faults_Fault1.xlsx,21,31,4,7,7,7,119,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,966,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,119,0 (119 diagnoses from 119 are in VBMdiags2),119,0 (119 diagnoses from 119 are in VBMdiags2),966,0 (966 diagnoses from 966 are in VBMdiags3),966,0 (966 diagnoses from 966 are in VBMdiags3),
AFW_dice_rolling_2Faults_Fault2.xlsx,21,31,4,6,6,6,105,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,875,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,105,0 (105 diagnoses from 105 are in VBMdiags2),105,0 (105 diagnoses from 105 are in VBMdiags2),875,0 (875 diagnoses from 875 are in VBMdiags3),875,0 (875 diagnoses from 875 are in VBMdiags3),
AFW_dice_rolling_2Faults_Fault3.xlsx,21,31,4,6,6,6,105,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,875,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,105,0 (105 diagnoses from 105 are in VBMdiags2),105,0 (105 diagnoses from 105 are in VBMdiags2),875,0 (875 diagnoses from 875 are in VBMdiags3),875,0 (875 diagnoses from 875 are in VBMdiags3),
AFW_dice_rolling_3Faults_Fault1.xlsx,21,31,4,7,7,7,119,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,966,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,119,0 (119 diagnoses from 119 are in VBMdiags2),119,0 (119 diagnoses from 119 are in VBMdiags2),966,0 (966 diagnoses from 966 are in VBMdiags3),966,0 (966 diagnoses from 966 are in VBMdiags3),
AFW_energy_1Faults_Fault2.xlsx,88,12,12,timeout,1,6,timeout,40,- (no 2-fault VBMdiags) timeout,46,- (no 2-fault VBMdiags) timeout,timeout,344,- (no 3-fault VBMdiags) timeout,240,- (no 3-fault VBMdiags) timeout,87,- (no 2-fault VBMdiags),507,- (no 2-fault VBMdiags),6957,- (no 3-fault VBMdiags),24548,- (no 3-fault VBMdiags),
AFW_energy_1Faults_Fault3.xlsx,88,12,12,1,1,8,87,56,0,38,0,3741,371,0,240,0,87,0 (87 diagnoses from 87 are in VBMdiags2),668,581 (87 diagnoses from 668 are in VBMdiags2),8218,4477 (3741 diagnoses from 8218 are in VBMdiags3),30324,26583 (3741 diagnoses from 30324 are in VBMdiags3),
AFW_energy_1Faults_Fault5.xlsx,88,12,12,6,6,13,507,87,0,100,0,21176,78,0,0,- (no 3-fault minimal FDMdiags) -,507,0 (507 diagnoses from 507 are in VBMdiags2),1053,546 (507 diagnoses from 1053 are in VBMdiags2),27898,6722 (21176 diagnoses from 27898 are in VBMdiags3),48936,27760 (21176 diagnoses from 48936 are in VBMdiags3),
AFW_energy_2Faults_Fault2.xlsx,88,12,12,0,0,0,timeout,4,- (no 2-fault VBMdiags) timeout,24,- (no 2-fault VBMdiags) timeout,timeout,190,- (no 3-fault VBMdiags) timeout,364,- (no 3-fault VBMdiags) timeout,-,-,-,-,338,- (no 3-fault VBMdiags),1968,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_1Faults_Fault1.xlsx,23,4,2,0,22,22,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_1Faults_Fault2.xlsx,23,4,1,0,23,23,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_1Faults_Fault3.xlsx,23,5,2,0,22,23,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_2Faults_Fault1.xlsx,23,4,1,0,23,23,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_2Faults_Fault2.xlsx,23,4,1,0,23,23,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_2Faults_Fault3.xlsx,23,4,1,0,23,23,timeout,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,- (no 2-fault VBMdiags),253,- (no 2-fault VBMdiags),1771,- (no 3-fault VBMdiags),1771,- (no 3-fault VBMdiags),
AFW_euclidean_algorithm_3Faults_Fault1.xlsx,23,4,1,3,23,23,63,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,631,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,253,190 (63 diagnoses from 253 are in VBMdiags2),253,190 (63 diagnoses from 253 are in VBMdiags2),1771,1140 (631 diagnoses from 1771 are in VBMdiags3),1771,1140 (631 diagnoses from 1771 are in VBMdiags3),
AFW_euclidean_algorithm_small_1Faults_Fault1.xlsx,13,4,1,11,13,13,78,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,286,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,0 (78 diagnoses from 78 are in VBMdiags2),78,0 (78 diagnoses from 78 are in VBMdiags2),286,0 (286 diagnoses from 286 are in VBMdiags3),286,0 (286 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_1Faults_Fault2.xlsx,13,4,2,1,12,12,12,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,66,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,66 (12 diagnoses from 78 are in VBMdiags2),78,66 (12 diagnoses from 78 are in VBMdiags2),286,220 (66 diagnoses from 286 are in VBMdiags3),286,220 (66 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_1Faults_Fault3.xlsx,13,5,2,1,12,13,12,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,66,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,66 (12 diagnoses from 78 are in VBMdiags2),78,66 (12 diagnoses from 78 are in VBMdiags2),286,220 (66 diagnoses from 286 are in VBMdiags3),286,220 (66 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_2Faults_Fault1.xlsx,13,5,1,4,13,13,74,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,286,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,4 (74 diagnoses from 78 are in VBMdiags2),78,4 (74 diagnoses from 78 are in VBMdiags2),286,0 (286 diagnoses from 286 are in VBMdiags3),286,0 (286 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_2Faults_Fault2.xlsx,13,4,2,1,12,12,12,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,66,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,66 (12 diagnoses from 78 are in VBMdiags2),78,66 (12 diagnoses from 78 are in VBMdiags2),286,220 (66 diagnoses from 286 are in VBMdiags3),286,220 (66 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_2Faults_Fault3.xlsx,13,4,1,4,13,13,78,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,286,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,78,0 (78 diagnoses from 78 are in VBMdiags2),78,0 (78 diagnoses from 78 are in VBMdiags2),286,0 (286 diagnoses from 286 are in VBMdiags3),286,0 (286 diagnoses from 286 are in VBMdiags3),
AFW_euclidean_algorithm_small_3Faults_Fault1.xlsx,13,5,2,0,8,11,6,6,2,0,- (no 2-fault minimal FDMdiags) -,51,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,68,64 (4 diagnoses from 68 are in VBMdiags2),77,71 (6 diagnoses from 77 are in VBMdiags2),285,234 (51 diagnoses from 285 are in VBMdiags3),286,235 (51 diagnoses from 286 are in VBMdiags3),
AFW_fibonacci_1Faults_Fault1.xlsx,46,26,2,2,2,46,89,903,0,0,- (no 2-fault minimal FDMdiags) -,1936,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,89,0 (89 diagnoses from 89 are in VBMdiags2),1035,946 (89 diagnoses from 1035 are in VBMdiags2),15166,13230 (1936 diagnoses from 15166 are in VBMdiags3),15180,13244 (1936 diagnoses from 15180 are in VBMdiags3),
